source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
akcička	action	Aktion	actie	действие	acción	action	akce	#VALUE!	akce	akce	akce	skladem
aktovčička	briefcase	Aktentasche	aktentas	портфель	maletín	mallette	aktovka	Aktovka	aktovka	aktovka	aktovka	aktovka
aktovečka	briefcase	Aktentasche	aktentas	портфель	maletín	mallette	aktovka	Aktovka	aktovka	aktovka	aktovka	aktovka
aktualitka	newspaper	Zeitung	krant-	газета	periódico	un journal	noviny	#VALUE!	noviny	noviny	Noviny	noviny
albíčko	album	Album	album	альбом	álbum	album	album	#VALUE!	album	album	album	album
aldinka	aldine	Aldine	aldine	Альдин	aldino	Aldine	Aldine	#VALUE!	Aldine	Aldin	Aldino	Aldine
alkoholek	alcohol	Alkohol	alcohol	алкоголь	alcohol	de l'alcool	alkohol	#VALUE!	alkohol	alkohol	alkohol	alkohol
almárka	almap	Almap	almap	Альмап	Almaap	almap	Almap	#VALUE!	Almap	Almap	Almaap	Almap
almuženka	alman	Alman	alman	Алман	exhisario	Alman	Alman	#VALUE!	Alman	Alman	Exsario	Alman
almužnička	alms	Almosen	aalmoes	милостыня	limosna	aumône	almužna	#VALUE!	almužna	almužna	almužna	almužna
altánek	bower	Laube	prieel	башня	cenador	tonnelle	altánek	#VALUE!	Arbor	věž	Arbor	Arbor
ambitek	cloak	Mantel	mantel	плащ	capa	manteau	plášť	#VALUE!	kabát	plášť	vrstva	kabát
ampulka	vial	Phiole	in een moeras	флакон	frasco	Fiole	Vial	#VALUE!	v bažině	láhev	sklenice	Baňka
amrhelka	amrhel	Amrhel	amrhel	Амрель	amrhel	amrhel	Amrhel	#VALUE!	Amrhel	Amrel	Amrhel	Amrhel
andílek	angel	Engel	engel	Ангел	ángel	ange	anděl	#VALUE!	anděl	Anděl	Anděl	anděl
andělíček	angel	Engel	engel	Ангел	ángel	ange	anděl	#VALUE!	anděl	Anděl	Anděl	anděl
andělík	angel	Engel	engel	Ангел	ángel	ange	anděl	#VALUE!	anděl	Anděl	Anděl	anděl
anekdotka	anecdot	Anekdot	anekdot	анекдот	anécdota	anecdot	anecdot	#VALUE!	anecdot	žert	anekdota	anecdot
antilopka	antelope	Antilope	antilope	антилопа	antílope	antilope	antilopa	#VALUE!	antilopa	antilopa	antilopa	antilopa
anténka	antenna	Antenne	antenne	антенна	antena	antenne	anténa	#VALUE!	anténa	anténa	anténa	anténa
aparátek	apparatus	Gerät	inrichting	аппарат	aparato	appareil	zařízení	#VALUE!	design	zařízení	zařízení	přístroj
aportek	retrieval	Abruf	ophalen	retrieval	recuperación	récupération	vyhledávání	#VALUE!	zvednout	Vyhledávání	Zotavení	zotavení
aršík	sheet	Blech	vel	лист	sábana	feuille	prostěradlo	#VALUE!	prostěradlo	prostěradlo	povlečení	prostěradlo
arcibiskupek	archbishoples	Erzbischofel	aartsbisschopjes	архиепископы	arzobispos	archevêques	Arcibiskuples	Arcibiskup	arcibiskup	Arcibiskupové	Arcibiskupové	Arcibiskupové
arcidílko	Archdile	Erzbogen	Boordig	Архидил	Arcdile	Archidile	Archdile	#VALUE!	Otlučený	Archidel	Arcdile	Archdile
areálek	area	Bereich	Oppervlakte	область	área	Région	plocha	#VALUE!	Povrch	kraj	plocha	Kraj
armaturka	fittings	Armaturen	uitrusting	фитинги	guarniciones	raccords	armatury	#VALUE!	zařízení	montáž	armatury	armatury
armádička	army	Heer	leger	армия	ejército	armée	armáda	#VALUE!	armáda	armáda	armáda	armáda
aromalampička	aromalamp	Aromalamp	aromalamp	аромаламп	aromalampista	aromalamp	Aromalamp	#VALUE!	Aromalamp	Aroma krajka	Aromalampista	Aromalamp
artedílnička	artwork	Kunstwerk	kunstwerk	произведение искусства	obra de arte	ouvrages d'art	kresba	#VALUE!	kresba	kus umění	kresba	mistrovská díla
ateliérek	studio	Studio	studio	студия	estudio	studio	studio	#VALUE!	studio	Studio	studie	studio
atomek	atom	Atom	atoom	атом	átomo	atome	atom	#VALUE!	atom	atom	atom	atom
autíčko	car	Wagen	auto	автомобиль	coche	auto	auto	#VALUE!	auto	automobil	auto	auto
auťáček	car	Wagen	auto	автомобиль	coche	auto	auto	#VALUE!	auto	automobil	auto	auto
autobusek	bus	Bus	bus	автобус	autobús	bus	autobus	#VALUE!	autobus	autobus	autobus	autobus
autokárek	autocaar	Autocaar	autocaar	Autocaar	autocaar	autocaar	Autocaar	#VALUE!	auto	Autocaar	Autocar	Autocaar
autolékárnička	auto-kit	Auto-kit	auto-kit	Авто-кит	auto-kit	Kit automatique	Auto-Kit	#VALUE!	auto-Kit	Auto-Kit	Auto-Kit	Automatická souprava
náklaďáček	truck	LKW	vrachtwagen	грузовая машина	camión	un camion	kamion	#VALUE!	kamion	kamion	kamion	náklaďák
osobáček	female	weiblich	vrouw	женский	femenino	femelle	ženský	#VALUE!	ženský	ženský	ženský	ženský
babička	grandmother	Oma	grootmoeder	бабушка	abuela	grand-mère	babička	#VALUE!	babička	babička	babička	Babička
praprababička	great-grandmother	tolle Großmutter	overgrootmoeder	прабабушка	bisabuela	arrière grand-mère	Skvělá babička	#VALUE!	Skvělá babička	Skvělá babička	Skvělá babička	Skvělá babička
prapraprababička	great-great-grandmother	Ur-Urgroßmutter	over over grootmoeder	Пра-пра-бабушка	tatara abuela	arrière-arrière-grand-mère	Skvělá-Grandmotry	#VALUE!	O babičce	Pra-great-babička	Skvělá babička	Skvělá babička
bábinka	Babin	Babin	Apen	Бабин	Babin	Babin	Babin	#VALUE!	APES	Babin	Babin	Babin
bábovička	mud pie	Matschkuchen	modder taart	грязевой пирог	torta de barro	tarte à la boue	bábovička	Bahní dort	zablácený	Bábovička	Bahní dort	bábovička
bachyňka	bachynek	Bachynek	bachynek	Бахинек	bachynek	bachynek	Bachynek	#VALUE!	Bachynek	Bakhinek	Bachynek	Bachynek
bagatelka	downplay	herunterspielen	bagatelliseren	преуменьшать	minimizar	minimiser	bagatelizovat	#VALUE!	trivialize	Čich	minimalizovat	minimalizovat
bagetka	baguette	Stangenbrot	stokje	багет	junquillo	baguette	Bagette	Tyčový chléb	lepit	Bagette	narcis	Bagette
bahnička	mud	Dreck	modder	грязь	lodo	boue	bláto	#VALUE!	bláto	špína	bláto	bláto
bahýnko	mud	Dreck	modder	грязь	lodo	boue	bláto	#VALUE!	bláto	špína	bláto	bláto
bažinka	swab	Tupfer	staafje	тампон	torunda	écouvillon	tampon	#VALUE!	bar	tampon	tampon	tampon
bajadérka	bayader	Bayader	bayader	Баядер	Bayader	bayader	Bayader	#VALUE!	Bayader	Bayader	Bayader	Bayader
bakulka	bachelor	Junggeselle	bachelor opleiding	Холостяк	soltero	bachelier	Bakalář	Bakalář	Bakalářské vzdělávání	Bakalář	singl	Bakalář
baladička	ballad	Ballade	ballade	баллада	balada	ballade	balada	#VALUE!	balada	balada	balada	balada
obálčička	envelope	Umschlag	envelop	конверт	sobre	enveloppe	obálka	#VALUE!	obálka	obálka	na	obálka
obálečka	enclosure	Gehege	omheining	корпус	recinto	enceinte	Ohrada	#VALUE!	plot	rám	Ohrada	těhotná
balvánek	patch	Patch	lapje	пластырь	parche	correctif	náplast	#VALUE!	náplast	náplast	náplast	náplast
balzamínka	balsam	Balsam	balsem	бальзам	bálsamo	baume	balzám	#VALUE!	balzám	balzám	balzám	balzám
balíček	package	Paket	pakket	упаковка	paquete	forfait	balík	#VALUE!	balík	balík	balík	balík
bambulka	tassel	Quaste	kwast	кисточка	borla	gland	střapec	#VALUE!	štětec	Štětec	střapec	Glans
bandička	band	Band	band	группа	banda	bande	kapela	#VALUE!	kapela	Skupina	kapela	ovázaný
bandůrek	bandframe	Bandframe	bandframe	Bandframe	marco de la banda	bandframe	Bandframe	#VALUE!	rám pneumatiky	Bandframe	Rám pásma	Bandframe
banalitka	banality	Banalität	banaliteit	банальность	banalidad	banalité	banalita	#VALUE!	banalita	banalita	banalita	banalita
banánek	banánek	Banánek	Banánek	Бананек	banánek	banánek	BANÁNEK	#VALUE!	BANÁNEK	Banán	BANÁNEK	BANÁNEK
barvička	color	Farbe	kleur	цвет	color	Couleur	barva	#VALUE!	barva	barva	barva	Barva
barvoměnka	coloring	Färbung	kleur	раскраска	colorante	coloration	zbarvení	#VALUE!	barva	zbarvení	Barevné	zbarvení
baráček	house	Haus	huis	дом	casa	loger	Dům	#VALUE!	Dům	Dům	Dům	Lodge
basička	bass	Bass	bas	басс	bajo	basse	bas	#VALUE!	bas	Bas	bas	nízký
baterčička	flashlight	Taschenlampe	zaklamp	фонарик	Linterna	lampe de poche	svítilna	svítilna	svítilna	pochodeň	Lucerna	bleskové světlo
batůžek	backpack	Rucksack	rugzak	рюкзак	mochila	sac à dos	batoh	#VALUE!	batoh	batoh	batoh	batoh
batolátko	toddle	tapsen	in de war maken	Тоддл	empezar a andar	secouer	batolit se	#VALUE!	zmást	Toddl	Začněte chodit	otřást
výbavička	outfit	Outfit	kleding	одежда	vestimenta	tenue	výstroj	#VALUE!	oblečení	oblečení	výstroj	výstroj
výbavka	equipment	Ausrüstung	apparatuur	оборудование	equipo	équipement	zařízení	Ozubené kolo	zařízení	zařízení	zařízení	zařízení
zábavička	entertainment	Entertainment	entertainment	развлечения	entretenimiento	divertissement	zábava	zábava	zábava	zábava	zábava	zábava
zábavka	entertainment	Entertainment	entertainment	развлечения	entretenimiento	divertissement	zábava	zábava	zábava	zábava	zábava	zábava
bazalička	basal	basal	basaal	базальный	basal	basal	Bazální	#VALUE!	Bazální	Bazální	Bazální	Bazální
baňčička	flask	Flasche	kompel	фляжка	matraz	ballon	baňka	#VALUE!	komponent	baňka	baňka	míč
baštička	bastion	Bastion	bastion	бастион	bastión	bastion	bašta	#VALUE!	bašta	bašta	bašta	bašta
bažantík	pheasant	Fasan	fazant	фазан	Faisán	faisan	bažant	#VALUE!	bažant	bažant	Bažant	bažant
budíček	wake-up	Wach auf	word wakker	вставай	despierta	réveillez-vous	vzbudit	#VALUE!	vzbudit	Vstávej	vzbudit	vzbudit
bebínko	bebink	Bebink	bebink	Bebink	bebink	se dérober	bebink	#VALUE!	bebink	Bebink	Babink	Shirk
bebíčko	Bebick	Bebick	Bebick	Бик	Bebick	Être en tête	Bebick	#VALUE!	Bebick	Bic	Dítě	Být vůdcem
bednička	box	Kasten	doos	коробка	caja	boîte	box	#VALUE!	box	box	pokladna	box
bedýnka	box	Kasten	doos	коробка	caja	boîte	box	#VALUE!	box	box	pokladna	box
reprobedýnka	loudspeaker	Lautsprecher	luidspreker	громкоговоритель	altoparlante	haut-parleur	reproduktor	mluvčí	reproduktor	mluvčí	reproduktor	hlasitý reproduktor
bedrníček	loiner	Launer	sloensleer	Loiner	veloz	couineur	loiner	#VALUE!	broušení	Loiner	rychle	stručný
berlička	crutch	Krücke	kruk	костыль	muleta	béquille	berle	#VALUE!	stolice	berle	berle	berle
besídka	party	Party	partij	партия	fiesta	faire la fête	oslava	#VALUE!	postranní	zásilka	oslava	slavit
besídečka	party	Party	partij	партия	fiesta	faire la fête	oslava	#VALUE!	postranní	zásilka	oslava	slavit
bečička	barber	Barbier	kapper	парикмахер	Barbero	coiffeur	holič	#VALUE!	Holič	kadeřník	Holič	kadeřník
bichirek	bichir	Bichir	bichir	Бичир	Bichir	bichir	Bichir	#VALUE!	Bichir	Bichir	Bichir	Bichir
bifteček	biftere	Biftere	biftere	бифтер	biftere	biftere	biftere	#VALUE!	Biftere	Bifter	Biftere	biftere
tataráček	tartar	Zahnstein	wijnsteen	Тартар	sarro	tartre	zubní kámen	#VALUE!	zubní kámen	Tartarus	zubní kámen	zubní kámen
bikinky	bikini	Bikini	bikini	бикини	bikini	bikini	bikiny	#VALUE!	bikiny	bikiny	bikiny	bikiny
biobylinka	organic	organisch	biologisch	органический	orgánico	BIO	organický	#VALUE!	biologický	organický	organický	organický
bijáček	bijak	Bijak	bier	Биджак	hijak	bijak	Bijak	#VALUE!	pivo	Bijak	dcera	Bijak
bijásek	Bijásek	Bijásek	Bijásek	Бихасек	Bijásek	Bijásek	Bijálsek	#VALUE!	Bijálsek	Bihasek	Bijasek	Bijálsek
biokašička	organic	organisch	biologisch	органический	orgánico	BIO	organický	#VALUE!	biologický	organický	organický	organický
bioklobáska	bio	Biografie	bio	биография	biografía	bio	bio	#VALUE!	bio	životopis	Životopis	organický
biokoláček	biolon	Biolon	biolon	биол	biolón	biolon	Biolon	#VALUE!	Biolon	Biol	Biolón	Biolon
biokoutek	bio-guy	Bio-Guy	bio-Guy	Био-гер	bio-guía	bio-guy	Bio-guy	#VALUE!	Bio-guy	Bio-Ger	Bio-guide	Bio-Guy
biokuřátko	bio-taut	Bio-ttut	bio-naut	Био-таут	bio-taut	bio-Taut	Bio-Taut	#VALUE!	Bio-Naut	Bio-tout	Bio-Taut	organický-Taut
bioobchůdek	bio-order	Biobestellung	bio-order	Био-заказ	bio-orden	commande bio	Bio-order	Organická poloha	Bio-order	Bio-order	Bio-orden	organický příkaz
biopáreček	organ	Organ	orgaan	орган	Organo	organe	orgán	#VALUE!	orgán	orgán	Orgán	orgán
biosvačinka	biosvine	Biosvine	biosvine	биосвана	biosvina	biosvine	Biosvine	#VALUE!	Biosvine	Biosvan	Biosvina	Biosvin
biotričko	biot	Biot	biot	био	biota	biot	Biot	#VALUE!	Biot	bio	Biota	Biot
biouheráček	Biouhercek	Biouhercek	Biouhercek	Biouhercek	Biouhercek	Biouhercek	Biouhercek	Biouhercek	Biouhercek	Biohercek	Biouhercek	Biouhercek
biovýrobek	bio-production	Bio-Produktion	bio-productie	Био-продукт	bio-producción	bio-production	Bio-produkce	Organická produkce	Bio-produkce	Bio-produkt	Bio-produkce	Bioprodukce
biozahrádka	organic	organisch	biologisch	органический	orgánico	BIO	organický	#VALUE!	biologický	organický	organický	organický
biretek	biret	Biret	biret	бирет	birero	ouverte	Biret	#VALUE!	Biret	Birete	Birro	otevřeno
bišonek	bichon	Bichon	bichon	Бишон	Bichon	bicher	Bichon	#VALUE!	Bichon	Bishon	Bichon	skrýt
blatka	mudguard	Kotflügel	spatbord	брызговик	guardabarros	garde-boue	blatník	#VALUE!	Splashback	Spray-headd	blatník	blatník
blbeček	natural	natürlich	natuurlijk	естественный	natural	Naturel	přírodní	#VALUE!	přirozeně	přírodní	přírodní	Přírodní
blbinka	stupid	dumm	dom	глупый	tonto	stupide	hloupý	#VALUE!	hloupý	hloupý	blázen	němý
blbůstka	stupid	dumm	dom	глупый	tonto	stupide	hloupý	#VALUE!	hloupý	hloupý	blázen	němý
blbovinka	stupid	dumm	dom	глупый	tonto	stupide	hloupý	#VALUE!	hloupý	hloupý	blázen	němý
bleška	flea	Floh	schommeling	блоха	pulga	Puce	blecha	#VALUE!	kolísání	blecha	blecha	Čip
bledulka	pale	blass	bleek	бледный	pálido	pâle	bledý	#VALUE!	bledý	bledý	Bledý	bledý
bloček	punch	schlagen	stoot	ударить кулаком	puñetazo	coup de poing	rána pěstí	#VALUE!	narazit	zasáhnout pěstí	rána pěstí	rána pěstí
blonďáček	blond	blond	blond	блондин	rubio	blond	blond	#VALUE!	blond	blond	blond	blond
bloudek	wand	Zauberstab	toverstaf	палочка	varita mágica	baguette magique	hůlka	Kouzelná hůlka	hůlka	hůlka	Kouzelná hůlka	Kouzelná hůlka
bludišťátko	maze	Matze	doolhof	лабиринт	laberinto	Labyrinthe	bludiště	#VALUE!	bludiště	Labyrint	labyrint	Labyrint
blanka	Blanka	Blanka	Blanka	Бланка	Blasha	Biblanche	Blank	#VALUE!	Blank	Blanca	Blasha	Biblanche
blatníček	fender	Fender	spatbord	крыло	defensa	aile	blatník	#VALUE!	Splashback	křídlo	obrana	křídlo
blátíčko	mud	Dreck	modder	грязь	lodo	boue	bláto	#VALUE!	bláto	špína	bláto	bláto
blouznílek	fool	täuschen	gek	дурак	engañar	idiot	blázen	#VALUE!	šílený	blázen	podvod	idiot
bláznivinka	crazy	verrückt	gek	псих	loca	fou	šílený	#VALUE!	šílený	šílený	šílený	šílený
blázínek	fool	täuschen	gek	дурак	engañar	idiot	blázen	#VALUE!	šílený	blázen	podvod	idiot
blůzka	blouse	Bluse	blouse	блузка	blusa	chemisier	halenka	#VALUE!	halenka	halenka	halenka	halenka
blůzička	blouse	Bluse	blouse	блузка	blusa	chemisier	halenka	#VALUE!	halenka	halenka	halenka	halenka
bobek	bob	Bob	bob	боб	Beto	bob	Bob	#VALUE!	Bob	fazole	Být	Bob
bobeček	bay	Bucht	baai	залив	bahía	la baie	záliv	#VALUE!	záliv	Záliv	záliv	zátoka
bobulka	berry	Beere	BES	ягода	baya	baie	bobule	#VALUE!	BOBULE	bobule	bobule	záliv
bobřík	beaver	Biber	bever	бобр	castor	castor	bobr	#VALUE!	Bobr	bobr	bobr	bobr
bochánek	bun	Brötchen	knobbeltje	булочка	bollo	chignon	drdol	#VALUE!	kus	drdol	drdol	drdol
bocháneček	bun	Brötchen	knobbeltje	булочка	bollo	chignon	drdol	#VALUE!	kus	drdol	drdol	drdol
bochníček	loaf	Laib	brood	буханка	pan	miche de pain	bochník	#VALUE!	chléb	bochník	chléb	bochník chleba
bodík	point	Punkt	punt	точка	punto	indiquer	směřovat	#VALUE!	směřovat	tečka	směřovat	označit
bodíček	point	Punkt	punt	точка	punto	indiquer	směřovat	#VALUE!	směřovat	tečka	směřovat	označit
bodlinka	spike	Spitze	piek	шип	pico	pic	špice	#VALUE!	vrchol	trn	vrchol	vrchol
bodláček	thistle	Distel	distel	чертополох	cardo	chardon	bodlák	#VALUE!	bodlák	bodlák	bodlák	bodlák
bojovníček	fighter	Kämpfer	vechter	истребитель	combatiente	combattant	bojovník	#VALUE!	bojovník	bojovník	bojovník	bojovník
zbojníček	outlaw	verbieten	balling	вне закона	proscrito	hors la loi	psanec	#VALUE!	vyhnanství	psanec	psanec	psanec
bolerko	bolero	Bolero	bolero	болеро	bolero	boléro	bolero	#VALUE!	bolero	bolero	bolero	bolero
bolestínek	pain	Schmerzen	pijn	боль	dolor	la douleur	bolest	#VALUE!	bolest	bolest	bolest	bolest
bolístka	pain	Schmerzen	pijn	боль	dolor	la douleur	bolest	#VALUE!	bolest	bolest	bolest	bolest
boláček	sore	wund	ontstoken	больной	doloroso	endolori	bolest	#VALUE!	zapáleno	nemocný	bolestivý	bolest
bombička	bomber	Bomber	bommenwerper	бомбардировщик	bombardeo	bombardier	bombardér	#VALUE!	bombardér	bombardér	bombardování	bombardér
superbombička	superbomb	Superbombe	superbomb	супертвом	superbombar	superbelle	superbomb	Superbomb	superbomb	super	Superbombar	Super krásné
bonmotek	bonmot	Bonmot	bonmot	Бонмот	bonmot	bon mot	Bonmot	#VALUE!	Bonmot	Bonot	Bonmot	správné slovo
bonzáček	bonzáček	Bonzáček	Bonzáček	Бонзахек	Bonzáček	Bonzáček	Bonzáchech	#VALUE!	Bonzáchech	Bonzakhek	Bonzáchech	Bonzáchech
borek	guy	Kerl	jongen	парень	tipo	mec	chlap	#VALUE!	chlapec	chlap	Typ	kámo
borčík	pine	Kiefer	pijnboom	сосна	pino	pin	borovice	#VALUE!	borovice	borovice	borovice	borovice
boreček	guy	Kerl	jongen	парень	tipo	mec	chlap	#VALUE!	chlapec	chlap	Typ	kámo
borovička	gin	Gin	gin	Джин	Ginebra	Gin	gin	#VALUE!	gin	Gin	Ženeva	Gin
bordýlek	bordery	Grenze	grens	пограничный	fronterizo	frontière	ohraničení	#VALUE!	okraj	okraj	hranice	okraj
botka	shoe	Schuh	schoen	обувь	zapato	chaussure	bota	#VALUE!	bota	obuv	bota	bota
botička	shoe	Schuh	schoen	обувь	zapato	chaussure	bota	#VALUE!	bota	obuv	bota	bota
boudka	shed	Baracke	schuur	пролить	cobertizo	hangar	kůlna	#VALUE!	stodola	kůlna	kůlna	kůlna
bouřka	storm	Sturm	storm	буря	tormenta	tempête	bouřka	#VALUE!	bouřka	bouřka	bouřka	bouřka
bouřliváček	tumor	Tumor	tumor	опухоль	tumor	tumeur	nádor	#VALUE!	nádor	nádor	nádor	nádor
buřňáček	bump	stoßen	buil	удар	bulto	cogner	narazit	#VALUE!	narazit	udeřil	balík	narazit
superbouřka	super-liner	Super-Liner	superliner	супер-линер	súper listón	super-liner	Super-liner	Super vložka	Subliner	Super-lininer	Super Bar	Super-line
zbořeninka	demolition	Abriss	sloop	снос	demolición	démolition	demolice	#VALUE!	demolice	demolice	demolice	demolice
bradáček	beard	Bart	baard	борода	barba	barbe	vousy	#VALUE!	vousy	vousy	vousy	vousy
bradavička	wart	Warze	wrat	бородаться	verruga	verrue	bradavice	#VALUE!	bradavice	Boj	bradavice	bradavice
bradavka	nipple	Nippel	tepel	сосок	pezón	téton	bradavka	#VALUE!	bradavka	bradavka	bradavka	bradavka
bramboráček	potatter	Potenz	bezwaren	посохи	potero	pot-de-vin	Potter	#VALUE!	námitka	Personál	Potero	úplatek
brambůrka	potato	Kartoffel	aardappel	картошка	papa	Patate	brambor	#VALUE!	brambor	Brambory	Táto	Brambor
brambůrek	potato	Kartoffel	aardappel	картошка	papa	Patate	brambor	#VALUE!	brambor	Brambory	Táto	Brambor
bratránek	cousin	Cousin	neef	двоюродная сестра	primo	cousine	bratranec	#VALUE!	bratranec	bratranec	bratranec	bratranec
bratráneček	cousin	Cousin	neef	двоюродная сестра	primo	cousine	bratranec	#VALUE!	bratranec	bratranec	bratranec	bratranec
bratřík	brother	Bruder	broer	брат	hermano	frère	bratr	#VALUE!	bratr	bratr	bratr	bratr
bratříček	brother	Bruder	broer	брат	hermano	frère	bratr	#VALUE!	bratr	bratr	bratr	bratr
bravek	brave	tapfer	moedig	Храбрый	Bravo	braver	statečný	#VALUE!	statečný	Statečný	Bravo	statečný
brašnička	bag	Tasche	tas	сумка	bolsa	sac	Taška	#VALUE!	Taška	Taška	Taška	Taška
brdeček	brdeček	Brdeček	Brdeček	Брдеек	brdeček	Brdeček	Brdechech	#VALUE!	Brdechech	Bardové	Brdechech	Brdechech
brdečko	brdečko	Brdečko	brdečko	Брдечко	brdečko	Brdečko	BRDECHKO	#VALUE!	BRDECHKO	Bredechko	BRDECHKO	BRDECHKO
brigádička	temporary	vorübergehend	tijdelijk	временный	temporario	temporaire	dočasný	v mezidobí	dočasný	dočasný	dočasný	dočasný
brigádka	brigade	Brigade	brigade	бригада	brigada	la brigade	brigáda	#VALUE!	brigáda	Brigáda	brigáda	četa
brigádníček	brigadier	Brigadegeneral	brigadegeneraal	бригадный	brigadier	brigadier	Brigadier	Brigadier	Brigáda generála	brigáda	Brigadier	Brigadier
briketka	briquet	Brikett	briket	Брикет	briquet	briquet	briket	#VALUE!	Briketa	Briket	Briket	lehčí
briliantek	brilliant	brillant	briljant	блестящий	brillante	génial	brilantní	#VALUE!	brilantní	brilantní	jiskřivé	skvělý
brčko	straw	Stroh	rietje	солома	Paja	paille	sláma	#VALUE!	sláma	sláma	Sláma	Sláma
brlinka	brink	Rand	rand	грань	borde	bord	pokraj	#VALUE!	okraj	Pokuta	okraj	okraj
broček	brottle	Brott	strenge	Бротлол	bocina	brotte	Brottle	#VALUE!	přísný	Brotlol	roh	Brotte
broskvička	peach	Pfirsich	perzik	персик	durazno	pêche	broskev	#VALUE!	broskev	broskev	broskev	hřích
broskvoňka	peach	Pfirsich	perzik	персик	durazno	pêche	broskev	#VALUE!	broskev	broskev	broskev	hřích
brouček	poppet	POPPET	poppet	поппет	Muñequita	poupée	Poppet	#VALUE!	panenka	Poppet	Dolly	panenka
broučínek	beetle	Käfer	kever	Жук	escarabajo	scarabée	brouk	#VALUE!	brouk	Chyba	brouk	brouk
