src-text	src-lang	tgt-text	tgt-lang	tgt-lang-var
kabelka	ces	handbag	eng	6871
kabelka	ces	cartera de mano	spa	10365
králík	ces	rabbit	eng	6871
králík	ces	conejo	spa	10365
kuřátko	ces	Kükenkopf	deu	157
kuřátko	ces	baby chick	eng	6871
kuřátko	ces	tête de poussin	fra	211
kuřátko	ces	kuikentje	nld	512
kuřátko	ces	голова цыпленка	rus	620
kuřátko	ces	cara pollito de perfil	spa	666
kuřátko	ces	cara de pollito	spa	10365
výhonek	ces	seedling	eng	6871
výhonek	ces	jonge plant	nld	512
výhonek	ces	planta joven	spa	666
výhonek	ces	plántula	spa	10365
trojlístek	ces	shamrock	eng	6871
trojlístek	ces	klavertjedrie	nld	512
trojlístek	ces	trébol	spa	10365
koláček	ces	cookie	eng	6871
koláček	ces	galleta	spa	10365
sanitka	ces	ambulance	eng	6871
sanitka	ces	ambulancia	spa	10365
taxík	ces	taxi	eng	6871
taxík	ces	taxi	spa	10365
hodinky	ces	watch	eng	6871
svíčka	ces	candle	eng	6871
svíčka	ces	vela	spa	10365
stránka	ces	Vorderseite eines Blattes	deu	157
stránka	ces	page facing up	eng	187
stránka	ces	page facing up	eng	6871
stránka	ces	pagina met bovenzijde omhoog	nld	512
stránka	ces	página por delante	spa	666
stránka	ces	documento	spa	10365
balíček	ces	package	eng	6871
balíček	ces	paquete	spa	10365
prášek	ces	pill	eng	6871
prášek	ces	píldora	spa	10365
jednotka	ces	Einser	deu	157
úsměšek	ces	Johlen	deu	157
schránka	ces	Kasten	deu	157
truhlík	ces	Kasten	deu	157
schránka	ces	Kasten	deu	157
schránka	ces	Kasten	deu	157
schránka	ces	Kasten	deu	157
bradavka	ces	Papille	deu	157
řepka	ces	Raps	deu	157
řepka	ces	Raps	deu	157
řepka	ces	Raps	deu	157
řepka	ces	Raps	deu	157
pomlčka	ces	-	eng	6942
vodík	ces	-	deu	157
vodka	ces	Schnaps	deu	157
schůzka	ces	Treffen	deu	157
schůzka	ces	Treffen	deu	157
schůzka	ces	Treffen	deu	157
schůzka	ces	Treffen	deu	157
kohoutek	ces	Widerrist	deu	157
stroužek	ces	Zeh	deu	157
podzimek	ces	-e	deu	157
chodníček	ces	-e	deu	157
cestička	ces	-e	deu	157
pěšinka	ces	-e	deu	157
křížek	ces	cross	eng	187
křížek	ces	cross	eng	187
křížek	ces	cross	eng	187
plenka	ces	diaper	eng	187
plenka	ces	diaper	eng	187
plenka	ces	diaper	eng	187
plenka	ces	diaper	eng	187
plenka	ces	diaper	eng	187
plenka	ces	diaper	eng	187
plenka	ces	diaper	eng	187
plenka	ces	diaper	eng	187
kovadlinka	ces	enclume	fra	211
kousíček	ces	miette	fra	211
bryndáček	ces	pechera	spa	666
částka	ces	som	nld	512
částka	ces	som	nld	512
poutko	ces	tab	eng	187
poutko	ces	tab	eng	187
poutko	ces	tab	eng	187
hospůdka	ces	taphouse	eng	187
kočárek	ces	wagon	fra	211
linka	ces	стезю	rus	620
tričko	ces	T-hemd	nld	512
sedmička	ces	7	eng	187
osmička	ces	8	eng	187
taxík	ces	AST	deu	157
obrázek	ces	Abbildung	deu	157
obrázek	ces	Abbildung	deu	157
obrázek	ces	Abbildung	deu	157
obrázek	ces	Abbildung	deu	157
obrázek	ces	Abbildung	deu	157
obrázek	ces	Abbildung	deu	157
obrázek	ces	Abbildung	deu	157
obrázek	ces	Abbildung	deu	157
obrázek	ces	Abbild	deu	157
obrázek	ces	Abbild	deu	157
obrázek	ces	Abbild	deu	157
obrázek	ces	Abbild	deu	157
okrsek	ces	Abbaufeld	deu	157
zámotek	ces	Abdeckung	deu	157
mřížka	ces	Abdeckgitter	deu	157
mřížka	ces	Abdeckrost	deu	157
večírek	ces	Abendbrot	deu	157
večírek	ces	Abendgesellschaft	deu	157
večírek	ces	Abendgesellschaft	deu	157
miláček	ces	Abgott	deu	157
košík	ces	Abfalleimer	deu	157
výhonek	ces	Ableger	deu	157
obrázek	ces	Ablichtung	deu	157
tácek	ces	Ablagekasten	deu	157
tácek	ces	Ablagekorb	deu	157
stvrzenka	ces	Abrechnungsbeleg	deu	157
článek	ces	Abschnitt	deu	157
dílek	ces	Abschnitt	deu	157
rozpěrka	ces	Abstandhalter	deu	157
rohožka	ces	Abtreter	deu	157
rohožka	ces	Abtreter	deu	157
rohožka	ces	Abtretmatte	deu	157
kohoutek	ces	Absperrhahn	deu	157
kohoutek	ces	Abstellhahn	deu	157
brousek	ces	Abziehstein	deu	157
rosička	ces	Acha	deu	157
ramínko	ces	Achselklappe	deu	157
osmička	ces	Acht	deu	157
osmička	ces	Acht	deu	157
osmička	ces	Acht	deu	157
osmička	ces	Acht	deu	157
osminka	ces	Achtelnote	deu	157
kohoutek	ces	Achsüberstand	deu	157
stolička	ces	Achterste	nld	512
slimáček	ces	Ackerschnecke	deu	157
řepík	ces	Ackermenning	deu	157
plamének	ces	Addison’s leather flower	eng	187
orlíček	ces	Adler	deu	157
orlík	ces	Adlerjunge	deu	157
orlík	ces	Adlerjunges	deu	157
hlaváček	ces	Adonisröschen	deu	157
hlaváček	ces	Adonisröschen	deu	157
kudlanka	ces	African mantis	eng	187
rosička	ces	African couch grass	eng	187
prdelka	ces	After	deu	157
psineček	ces	Agrostis	eng	187
psineček	ces	Agrostis	eng	187
psineček	ces	Agrostide	fra	211
psineček	ces	Agrostis	spa	666
psineček	ces	Agrostis	spa	666
psineček	ces	Agrostis	deu	157
psineček	ces	Agrostis	fra	211
babička	ces	Ahndl	deu	157
babička	ces	Ahndl	deu	157
babička	ces	Ahnl	deu	157
babička	ces	Ahnl	deu	157
dědeček	ces	Ahn	deu	157
orlíček	ces	Akeleien	deu	157
orlíček	ces	Akelei	deu	157
orlíček	ces	Akelei	deu	157
orlíček	ces	Akelei	deu	157
orlíček	ces	Akelei	deu	157
kufřík	ces	Aktenkoffer	deu	157
kufřík	ces	Aktenkoffer	deu	157
kufřík	ces	Aktentasche	deu	157
kufřík	ces	Aktentasche	deu	157
sponka	ces	Aktenklammer	deu	157
hliník	ces	Al	eng	187
hliník	ces	Al	eng	187
hliník	ces	Al	eng	187
kalhotky	ces	Alan Whickers	eng	187
ulička	ces	Allee	deu	157
stolička	ces	Allerwertester	deu	157
kopřivka	ces	Alopezie	deu	157
skalka	ces	Alpinum	deu	157
besídka	ces	Altan	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
hliník	ces	Aluminium	deu	157
kovadlinka	ces	Amboß	deu	157
kovadlinka	ces	Amboss	deu	157
sanitka	ces	Ambulanz	deu	157
záchranka	ces	Ambulanz	deu	157
záchranka	ces	Ambulanz	deu	157
sanitka	ces	Ambulanz	deu	157
sanitka	ces	Ambulanz	deu	157
sanitka	ces	Ambulanz	deu	157
záchranka	ces	Ambulanz	deu	157
brusinka	ces	Amerikaanse veenbes	nld	512
ampulka	ces	Ampulle	deu	157
ampulka	ces	Ampulle	deu	157
ampulka	ces	Ampulle	deu	157
lahvička	ces	Ampulle	deu	157
nádobka	ces	Ampulle	deu	157
chlubílek	ces	Angeber	deu	157
chlubílek	ces	Angeberin	deu	157
háček	ces	Angelhaken	deu	157
háček	ces	Angelhaken	deu	157
háček	ces	Angelhaken	deu	157
háček	ces	Angelhaken	deu	157
háček	ces	Angelhaken	deu	157
pohnutka	ces	Anlass	deu	157
parčík	ces	Anlage	deu	157
pořádek	ces	Anordnung	deu	157
taxík	ces	Anrufsammeltaxe	deu	157
taxík	ces	Anrufsammeltaxi	deu	157
krabička	ces	Ansammlung	deu	157
kytička	ces	Ansteckblume	deu	157
kytička	ces	Anstecksträußchen	deu	157
obrázek	ces	Ansicht, Abbild, Bild, Figur	deu	157
plátek	ces	Anteil	deu	157
prdelka	ces	Anus	deu	157
součástka	ces	Apparat	deu	157
strojek	ces	Apparat	deu	157
věcička	ces	Apparat	deu	157
štěteček	ces	Applikationsgerät	deu	157
štěteček	ces	Applikator	deu	157
neschopenka	ces	Arbeitsunfähigkeit	deu	157
architektonika	ces	Architektonik	deu	157
armaturka	ces	Armaturenfabrik	deu	157
kohoutek	ces	Armatur	deu	157
hodinky	ces	Armbanduhr	deu	157
hodinky	ces	Armbanduhr	deu	157
hodinky	ces	Armbanduhr	deu	157
hodinky	ces	Armbanduhr	deu	157
hodinky	ces	Armbanduhr	deu	157
vodka	ces	Arrak	deu	157
zadeček	ces	Arsch	deu	157
stolička	ces	Arsch	deu	157
tepénka	ces	Arteriole	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
článek	ces	Artikel	deu	157
ampulka	ces	Arzneifläschchen	deu	157
lahvička	ces	Arzneifläschchen	deu	157
nádobka	ces	Arzneifläschchen	deu	157
popílek	ces	Asche	deu	157
slunéčko	ces	Asian lady beetle	eng	187
slunéčko	ces	Asian multicolored lady beetle	eng	187
plamének	ces	Asian virginsbower	eng	187
stránka	ces	Aspekt	deu	157
svinka	ces	Assel	deu	157
pomůcka	ces	Assistenz	deu	157
pomůcka	ces	Assistenz…	deu	157
stvrzenka	ces	Attest	deu	157
poutko	ces	Aufhänger	deu	157
ramínko	ces	Aufhänger	deu	157
patka	ces	Auflagestück	deu	157
ramínko	ces	Aufhängeeisen	deu	157
stvrzenka	ces	Aufgabeschein	deu	157
chvilka	ces	Augenblick	deu	157
chvilinka	ces	Augenblick	deu	157
chvilka	ces	Augenblick	deu	157
chvilka	ces	Augenblick	deu	157
chvilička	ces	Augenblick	deu	157
chvilka	ces	Augenblick	deu	157
chvilka	ces	Augenblick	deu	157
vteřinka	ces	Augenblick	deu	157
zornička	ces	Auge	deu	157
víčko	ces	Augenlid	deu	157
víčko	ces	Augenlid	deu	157
víčko	ces	Augenlid	deu	157
víčko	ces	Augenlid	deu	157
víčko	ces	Augenlid	deu	157
víčko	ces	Augenlid	deu	157
štítek	ces	Aufschrift	deu	157
víčko	ces	Augendeckel	deu	157
chlubílek	ces	Aufschneider	deu	157
výhonek	ces	Ausläufer	deu	157
výstavka	ces	Ausstellung	deu	157
hospůdka	ces	Ausschank	deu	157
hospůdka	ces	Ausschenke	deu	157
článek	ces	Ausschnitt	deu	157
stvrzenka	ces	Ausweis	deu	157
miminko	ces	Baby	deu	157
batolátko	ces	Baby	deu	157
miminko	ces	Baby	deu	157
miminko	ces	Baby	deu	157
miminko	ces	Baby	deu	157
miminko	ces	Baby	deu	157
brouček	ces	Baby	deu	157
miminko	ces	Baby	deu	157
kočárek	ces	Babywagen	deu	157
pramének	ces	Bach	deu	157
stolička	ces	Backenzahn	deu	157
stolička	ces	Backenzahn	deu	157
stolička	ces	Backenzahn	deu	157
stolička	ces	Backenzahn	deu	157
stolička	ces	Backenzahn	deu	157
půlka	ces	Backe	deu	157
půlka	ces	Backe	deu	157
líčko	ces	Backe	deu	157
líčko	ces	Backe	deu	157
líčko	ces	Backe	deu	157
netopýrek	ces	Bahaman funnel-eared bat	eng	187
nosítka	ces	Bahre	deu	157
nosítka	ces	Bahre	deu	157
nosítka	ces	Bahre	deu	157
cestička	ces	Bahn	deu	157
pusinka	ces	Baiser	deu	157
kozlík	ces	Baldrian	deu	157
kozlík	ces	Baldrian	deu	157
kozlík	ces	Baldrian	deu	157
banánek	ces	Bananenstecker	deu	157
poutko	ces	Band	deu	157
ploténka	ces	Bandscheibe	deu	157
lavička	ces	Bank	deu	157
lavička	ces	Bank	deu	157
lavička	ces	Bank	deu	157
lavička	ces	Bank	deu	157
levoboček	ces	Bankert	deu	157
hvozdík	ces	Bartnelke	deu	157
knírek	ces	Bart	deu	157
tetička	ces	Base	deu	157
tetka	ces	Base	deu	157
levoboček	ces	Bastard	deu	157
bříško	ces	Bauch	deu	157
okrsek	ces	Baufeld	deu	157
součástka	ces	Bauteil	deu	157
hrnek	ces	Becher	deu	157
košíček	ces	Becher	deu	157
džbánek	ces	Becher	deu	157
hrnek	ces	Becher	deu	157
hrneček	ces	Becher	deu	157
pohárek	ces	Becher	deu	157
šálek	ces	Becher	deu	157
šálek	ces	Becher	deu	157
hrnek	ces	Becher	deu	157
hrnek	ces	Becher	deu	157
hrnek	ces	Becher	deu	157
hrnek	ces	Becher	deu	157
hrnek	ces	Becher	deu	157
hrnek	ces	Becher	deu	157
kádinka	ces	Becherglas	deu	157
pohárek	ces	Becherglas	deu	157
kádinka	ces	Becherglas	deu	157
kádinka	ces	Becherglas	deu	157
pánvička	ces	Becken	deu	157
pikolík	ces	Bedienungshilfe	deu	157
zahrádka	ces	Beet	deu	157
choutka	ces	Begierde	deu	157
tetička	ces	Befühlte	deu	157
tetka	ces	Befühlte	deu	157
pomůcka	ces	Behelf	deu	157
pomůcka	ces	Beihilfe	deu	157
pomůcka	ces	Beihilfe	deu	157
kalhotky	ces	Beinkleid	deu	157
nádržka	ces	Behälter	deu	157
nádržka	ces	Behältnis	deu	157
kobylka	ces	Beißschrecken	deu	157
článek	ces	Beitrag	deu	157
článek	ces	Beitrag	deu	157
pomůcka	ces	Beistand	deu	157
pomůcka	ces	Beistand	deu	157
hospůdka	ces	Beisel	deu	157
hospůdka	ces	Beisl	deu	157
hospůdka	ces	Beiz	deu	157
stvrzenka	ces	Beleg	deu	157
sedmikráska	ces	Bellis	spa	666
sedmikráska	ces	Bellis	nld	512
sedmikráska	ces	Bellis	fra	211
benjamínek	ces	Benjamin	deu	157
pevnůstka	ces	Beobachtungsbunker	deu	157
okrsek	ces	Bereich	deu	157
stvrzenka	ces	Berechtigungsnachweis	deu	157
stvrzenka	ces	Berechtigungsnachweise	deu	157
kopeček	ces	Berg	deu	157
vrcholek	ces	Bergspitze	deu	157
článek	ces	Bericht	deu	157
stvrzenka	ces	Bescheinigung	deu	157
stvrzenka	ces	Bescheinigung, Zertifikat	deu	157
titulek	ces	Beschriftung	deu	157
popisek	ces	Beschriftung	deu	157
štítek	ces	Beschriftung	deu	157
schůzka	ces	Besprechung	deu	157
potvrzenka	ces	Bestätigung	deu	157
stvrzenka	ces	Bestätigung	deu	157
součástka	ces	Bestandteil	deu	157
částka	ces	Betrag	deu	157
částka	ces	Betrag	deu	157
postýlka	ces	Bettchen	deu	157
pohnutka	ces	Beweggrund	deu	157
pohnutka	ces	Beweggrund	deu	157
stvrzenka	ces	Beurkundung	deu	157
znaménko	ces	Bezeichnung	deu	157
okrsek	ces	Bezirk	deu	157
okrsek	ces	Bezirk	deu	157
sázenka	ces	Bezugsschein	deu	157
kopeček	ces	Bichl	deu	157
kytička	ces	Biedermeiersträußchen	deu	157
sládek	ces	Bierbrauer	deu	157
sládek	ces	Bierbrauer	deu	157
sklípek	ces	Bierkeller	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
obrázek	ces	Bild	deu	157
popisek	ces	Bildunterschrift	deu	157
popisek	ces	Bildüberschrift	deu	157
obrázek	ces	Bildnis	deu	157
pomlčka	ces	Bindestrich	deu	157
pomlčka	ces	Bindestrich	deu	157
provázek	ces	Bindfaden	deu	157
tetřívek	ces	Birkhuhn	deu	157
tetřívek	ces	Birkhuhn	deu	157
tetřívek	ces	Birkhuhn	deu	157
tetřívek	ces	Birkhuhn	deu	157
tetřívek	ces	Birkhahn	deu	157
troška	ces	Bisschen	deu	157
plátek	ces	Blatt	deu	157
modřinka	ces	Blaumeise	deu	157
modřinka	ces	Blaumeise	deu	157
modřinka	ces	Blaumeise	deu	157
sojka	ces	Blauhäher	deu	157
olůvko	ces	Bleistift	deu	157
olůvko	ces	Bleistift	deu	157
olůvko	ces	Bleistift	deu	157
olůvko	ces	Bleistift	deu	157
olůvko	ces	Bleistift	deu	157
chaloupka	ces	Blockhütte	deu	157
bouřka	ces	Blitz mit Donnerschlag	deu	157
bouřka	ces	Blitzmit Donnerschlag	deu	157
bouřka	ces	Blitzschlag	deu	157
bouřka	ces	Blitzstrahl	deu	157
chaloupka	ces	Blockhaus	deu	157
vodka	ces	Bloody Caesar	eng	187
modřinka	ces	Blue Tit	eng	187
korunka	ces	Blumenkrone	deu	157
kvítek	ces	Blume	deu	157
kvítek	ces	Blume	deu	157
květinka	ces	Blume	deu	157
truhlík	ces	Blumenkasten	deu	157
kroužek	ces	Blumenkette	deu	157
věneček	ces	Blumenkette	deu	157
kroužek	ces	Blumenkranz	deu	157
věneček	ces	Blumenkranz	deu	157
blůzka	ces	Bluse	deu	157
halenka	ces	Bluse	deu	157
halenka	ces	Bluse	deu	157
halenka	ces	Bluse	deu	157
bublinka	ces	Bläschen	deu	157
měchýřek	ces	Bläschen	deu	157
puchýřek	ces	Bläschen	deu	157
měchýřek	ces	Bläschen	deu	157
puchýřek	ces	Bläschen	deu	157
puchýřek	ces	Bläschen	deu	157
bublinka	ces	Bläschen	deu	157
lupínek	ces	Blättchen	deu	157
lísteček	ces	Blättchen	deu	157
vřídek	ces	Blutgeschwür	deu	157
krvinka	ces	Blutkörperchen	deu	157
krvinka	ces	Blutkörperchen	deu	157
konopka	ces	Bluthänfling	deu	157
kytička	ces	Blumenstrauß	deu	157
kytička	ces	Blumensträußchen	deu	157
krvinka	ces	Blutzelle	deu	157
kvítek	ces	Blümchen	deu	157
květinka	ces	Blümchen	deu	157
kvíteček	ces	Blümchen	deu	157
kvítek	ces	Blümchen	deu	157
kytička	ces	Blümchen	deu	157
květinka	ces	Blümchen	deu	157
kytička	ces	Blümchen	deu	157
květinka	ces	Blümchen	deu	157
kvítek	ces	Blümchen	deu	157
kytička	ces	Blümlein	deu	157
květinka	ces	Blümlein	deu	157
kytička	ces	Blümlein	deu	157
květinka	ces	Blümlein	deu	157
kvítek	ces	Blümlein	deu	157
kvítek	ces	Blüte	deu	157
květinka	ces	Blüte	deu	157
plátek	ces	Blütenblatt	deu	157
párek	ces	Bockwurst	deu	157
špekáček	ces	Bockwurst	deu	157
párek	ces	Bockwurst	deu	157
kobereček	ces	Bodenteppich	deu	157
ovečka	ces	Bokkie	deu	157
jehňátko	ces	Bokkie	deu	157
stravenka	ces	Bon	deu	157
tácek	ces	Bon Festival	eng	187
cukrovinka	ces	Bonbon	deu	157
cukrátko	ces	Bonbon	deu	157
cukrátko	ces	Bonbon	deu	157
cukrovinka	ces	Bonbon	deu	157
cukrovinka	ces	Bonbon	deu	157
cukrátko	ces	Bonbon	deu	157
bubínek	ces	Bongo	deu	157
bubínek	ces	Bongotrommel	deu	157
loďka	ces	Boot	deu	157
loďka	ces	Boot	deu	157
loďka	ces	Boot	deu	157
loďka	ces	Boot	deu	157
loďka	ces	Boot	deu	157
děvka	ces	Bordsteinschwalbe	deu	157
záclonka	ces	Bordüre	deu	157
kytička	ces	Bouquet	deu	157
lahvička	ces	Bouteille	deu	157
pýchavka	ces	Bovist	deu	157
pýchavka	ces	Bovist	deu	157
schránka	ces	Box	deu	157
stélka	ces	Brandsohle	deu	157
puchýřek	ces	Brandblase	deu	157
bublinka	ces	Brandblase	deu	157
sládek	ces	Brauer	deu	157
sládek	ces	Brauer	deu	157
párek	ces	Bratwurstbude	deu	157
sládek	ces	Brauerin	deu	157
kašička	ces	Brei	deu	157
páčka	ces	Brecheisen	deu	157
prkénko	ces	Brettchen	deu	157
prkýnko	ces	Brettchen	deu	157
schránka	ces	Briefkasten	deu	157
schránka	ces	Briefkasten	deu	157
patka	ces	Brotkanten	deu	157
knížka	ces	Broschüre	deu	157
knížka	ces	Broschüre	deu	157
sponka	ces	Brosche	deu	157
plátek	ces	Brotscheibe	deu	157
chlebíček	ces	Brot	deu	157
zrnko	ces	Bruchkorn	deu	157
vlček	ces	Brummkreisel	deu	157
vlnka	ces	Brummspannung	deu	157
bradavka	ces	Brustwarze	deu	157
bradavka	ces	Brustwarze	deu	157
bradavka	ces	Brustwarze	deu	157
bradavka	ces	Brustwarze	deu	157
bradavka	ces	Brustwarze	deu	157
bradavka	ces	Brustwarze	deu	157
bradavka	ces	Brustwarze	deu	157
bradavka	ces	Brust	deu	157
bradavka	ces	Brustdrüse	deu	157
chlebíček	ces	Brötchen	deu	157
bochánek	ces	Brötchen	deu	157
bratříček	ces	Brüderchen	deu	157
kobereček	ces	Brücke	deu	157
plátek	ces	Bröckchen	deu	157
kousíček	ces	Bröckchen	deu	157
kousínek	ces	Bröckchen	deu	157
kladka	ces	Brückenkran	deu	157
knížka	ces	Buch	deu	157
zdířka	ces	Buchse	deu	157
hrbolek	ces	Buckel	deu	157
stánek	ces	Bude	deu	157
stánek	ces	Bude	deu	157
kočárek	ces	Buggy	deu	157
stupínek	ces	Bugkorb	deu	157
puchýřek	ces	Bulla	deu	157
bublinka	ces	Bulla	deu	157
kohoutek	ces	Bundkragen	deu	157
střevlíček	ces	Buntgrabläufer	deu	157
olůvko	ces	Buntstift	deu	157
králíček	ces	Bunny	deu	157
chlapík	ces	Bursche	deu	157
bradavka	ces	Busen	deu	157
vizitka	ces	Business Card	eng	187
holubička	ces	Butterblume	deu	157
potůček	ces	Bächlein	deu	157
potůček	ces	Bächlein	deu	157
pramének	ces	Bächlein	deu	157
bříško	ces	Bäuchlein	deu	157
bříško	ces	Bäuchlein	deu	157
bříško	ces	Bäuchlein	deu	157
stromek	ces	Bäumchen	deu	157
tkanička	ces	Bändel	deu	157
medvídek	ces	Bären	deu	157
knížka	ces	Bändchen	deu	157
knížka	ces	Büchlein	deu	157
knížka	ces	Büchlein	deu	157
krabička	ces	Büchse	deu	157
hrnek	ces	Büchse	deu	157
vráska	ces	Bügelfalte	deu	157
stánek	ces	Büdchen	deu	157
kufřík	ces	Büchermappe	deu	157
polička	ces	Bücherbrett	deu	157
polička	ces	Bücherregal	deu	157
kopeček	ces	Büchel	deu	157
kopeček	ces	Bühl	deu	157
klokánek	ces	Bürstenkänguruhs	deu	157
sponka	ces	Büroklammer	deu	157
sponka	ces	Büroklammer	deu	157
sponka	ces	Büroklammer	deu	157
kartáček	ces	Bürste	deu	157
smetáček	ces	Bürste	deu	157
kartáček	ces	Bürste	deu	157
kartáček	ces	Bürste	deu	157
kartáček	ces	Bürste	deu	157
klouček	ces	Bürschchen	deu	157
měsíček	ces	Calendula	deu	157
svíčka	ces	Candela	deu	157
lopatka	ces	Carpus	deu	157
vizitka	ces	Carte de visite	fra	211
kopřivka	ces	Cellulitis	deu	157
ramínko	ces	Bügel	deu	157
ramínko	ces	Bügel	deu	157
ramínko	ces	Bügel	deu	157
ramínko	ces	Bügel	deu	157
cypřišek	ces	Chamaecyparis	eng	187
cypřišek	ces	Chamaecyparis	fra	211
cypřišek	ces	Chamaecyparis	spa	666
cypřišek	ces	Chamäcyparis	deu	157
vinětka	ces	Charakterskizze	deu	157
andílek	ces	Cherub	deu	157
andělíček	ces	Cherub	deu	157
lupínek	ces	Chip	deu	157
stromeček	ces	Christbaum	deu	157
jezulátko	ces	Christkind	deu	157
stromeček	ces	Christmas tree	eng	187
sekáček	ces	Cleaver	deu	157
sekáček	ces	Cleaver	deu	157
vodka	ces	Cognac	deu	157
myška	ces	Computermaus	deu	157
cedulka	ces	Etikett	deu	157
štítek	ces	Etikett	deu	157
štítek	ces	Etikett	deu	157
cedulka	ces	Etikett	deu	157
štítek	ces	Etikett	deu	157
zornička	ces	Conjunctiva	deu	157
zornička	ces	Cornea	deu	157
bratránek	ces	Cousin	deu	157
bratránek	ces	Cousin ersten Grades	deu	157
bratránek	ces	Cousine	deu	157
lebka	ces	Cranium	deu	157
hrnek	ces	Cup	deu	157
košíček	ces	Cup	deu	157
